TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0xac818d465c30,0xf80732aa4000,0x0,\Driver\WscVReg,WscVReg,\Driver\WscVReg
0,0xac818d477d80,0x0,0x0,,RAW,\FileSystem\RAW
0,0xac818d4b8cf0,0xf80732aa4000,0x0,\Driver\WMIxWDM,WMIxWDM,\Driver\WMIxWDM
0,0xac818d4cacf0,0xf80732a06000,0x0,\Driver\ACPI_HAL,ACPI_HAL,\Driver\ACPI_HAL
0,0xac818d4cecf0,0xf80c9c820000,0x48000,MsSecFlt,MsSecFlt,\Driver\MsSecFlt
0,0xac818d4d2cf0,0xf80c9c6c0000,0xd1000,Wdf01000,Wdf01000,\Driver\Wdf01000
0,0xac818d4d3cf0,0xf80c9c7f0000,0x24000,acpiex,acpiex,\Driver\acpiex
0,0xac818d4ddcf0,0xf80c9c600000,0xb8000,CNG,CNG,\Driver\CNG
0,0xac818d4ddd10,0x160016,0x8d450c30,N/A,,N/A
0,0xac818d4e2cf0,0xf80c9c870000,0x1a000,SgrmAgent,SgrmAgent,\Driver\SgrmAgent
0,0xac818d4f3cf0,0xf80c9c990000,0x16000,WindowsTrustedRT,WindowsTrustedRT,\Driver\WindowsTrustedRT
0,0xac818d506cf0,0xf80c9c9b0000,0x43000,intelpep,intelpep,\Driver\intelpep
0,0xac818d509cf0,0xf80c9c890000,0xc8000,ACPI,ACPI,\Driver\ACPI
0,0xac818d50bcf0,0xf80c9ca00000,0xb000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\Driver\WindowsTrustedRTProxy
0,0xac818d516cf0,0xf80c9cd50000,0x10000,xenfilt,xenfilt,\Driver\xenfilt
0,0xac818d51ccf0,0xf80c9cc50000,0xb000,msisadrv,msisadrv,\Driver\msisadrv
0,0xac818d52bcf0,0xf80c9cc60000,0x12000,vdrvroot,vdrvroot,\Driver\vdrvroot
0,0xac818d530cf0,0xf80c9cc80000,0x6b000,pci,pci,\Driver\pci
0,0xac818d5a3310,0xf80c9cf80000,0x1f000,mountmgr,mountmgr,\Driver\mountmgr
0,0xac818d5a38c0,0xf80c9cfa0000,0xd000,atapi,atapi,\Driver\atapi
0,0xac818d5d7d70,0xf80732aa4000,0x0,\Driver\PnpManager,PnpManager,\Driver\PnpManager
0,0xac818d5d9d70,0xf80732aa4000,0x0,\Driver\SoftwareDevice,SoftwareDevice,\Driver\SoftwareDevice
0,0xac818d5dad70,0xf80732aa4000,0x0,\Driver\DeviceApi,DeviceApi,\Driver\DeviceApi
0,0xac818d6cee00,0xf80c9ca10000,0x14000,pcw,pcw,\Driver\pcw
0,0xac818da85520,0xf80c9da60000,0x15000,FileCrypt,FileCrypt,\FileSystem\FileCrypt
0,0xac818da88e20,0xf80c9da90000,0xa000,Null,Null,\Driver\Null
0,0xac818da8de10,0xf807359d0000,0x2c000,Dfsc,Dfsc,\FileSystem\Dfsc
0,0xac818da8fd20,0xf80735af0000,0x33a000,DXGKrnl,DXGKrnl,\Driver\DXGKrnl
0,0xac818da91df0,0xf80735e50000,0x16000,BasicDisplay,BasicDisplay,\Driver\BasicDisplay
0,0xac818daaac70,0xf80735e70000,0x11000,BasicRender,BasicRender,\Driver\BasicRender
0,0xac818daab8f0,0xf807359b0000,0x10000,mssmbios,mssmbios,\Driver\mssmbios
0,0xac818daac8f0,0xf80735e90000,0x1c000,Npfs,Npfs,\FileSystem\Npfs
0,0xac818daadcd0,0xf80735eb0000,0x11000,Msfs,Msfs,\FileSystem\Msfs
0,0xac818daafcd0,0xf80735ed0000,0x27000,tdx,tdx,\Driver\tdx
0,0xac818db98df0,0xf80c9d800000,0x6d000,volsnap,volsnap,\Driver\volsnap
0,0xac818db99df0,0xf80c9d870000,0x25000,Mup,Mup,\FileSystem\Mup
0,0xac818dbabdc0,0xf80c9d8c0000,0x1c000,Disk,Disk,\Driver\Disk
0,0xac818dbcfe00,0xf80735a90000,0x11000,CompositeBus,CompositeBus,\Driver\CompositeBus
0,0xac818dc04e30,0xf80c9ca50000,0x151000,NDIS,NDIS,\Driver\NDIS
0,0xac818dc06390,0xf80c9d410000,0x32000,KSecPkg,KSecPkg,\Driver\KSecPkg
0,0xac818dc065a0,0xf80c9d450000,0x2db000,Tcpip,Tcpip,\Driver\Tcpip
0,0xac818dc4fd20,0xf80c9d1e0000,0x1c000,EhStorClass,EhStorClass,\Driver\EhStorClass
0,0xac818dc51d20,0xf80c9c010000,0x70000,FltMgr,FltMgr,\FileSystem\FltMgr
0,0xac818dc76e00,0xf80c9cef0000,0x19000,volmgr,volmgr,\Driver\volmgr
0,0xac818dc77df0,0xf80c9cf10000,0x63000,volmgrx,volmgrx,\Driver\volmgrx
0,0xac818dc8d830,0xf80c9c1c0000,0x3e000,Wof,Wof,\FileSystem\Wof
0,0xac818dc8edb0,0xf80c9d250000,0x69000,WdFilter,WdFilter,\FileSystem\WdFilter
0,0xac818dc8fe30,0xf80c9c540000,0x6a000,CLFS,CLFS,\Driver\CLFS
0,0xac818dca0df0,0xf80c9d7f0000,0xb000,volume,volume,\Driver\volume
0,0xac818dcc28d0,0xf80c9ce00000,0xb000,intelide,intelide,\Driver\intelide
0,0xac818dcc2e10,0xf80c9ce30000,0xb1000,spaceport,spaceport,\Driver\spaceport
0,0xac818dcc9e00,0xf80c9ccf0000,0x31000,xenbus,xenbus,\Driver\xenbus
0,0xac818dccfb50,0xf80c9cd80000,0x2e000,pdc,pdc,\Driver\pdc
0,0xac818dcd0dc0,0xf80c9cdd0000,0x2f000,partmgr,partmgr,\Driver\partmgr
0,0xac818dcd2e00,0xf80c9cd70000,0xe000,ec2winutildriver,ec2winutildriver,\Driver\ec2winutildriver
0,0xac818dcd6dc0,0xf80c9db70000,0x28c000,Ntfs,Ntfs,\FileSystem\Ntfs
0,0xac818dcd9cc0,0xf80c9cff0000,0x1f000,xenvbd,xenvbd,\Driver\xenvbd
0,0xac818dcdab80,0xf80c9c4f0000,0x29000,KSecDD,KSecDD,\Driver\KSecDD
0,0xac818dcddb30,0xf80c9d400000,0xd000,Fs_Rec,Fs_Rec,\FileSystem\Fs_Rec
0,0xac818dd06e30,0xf80c9d7b0000,0x30000,WFPLWFS,WFPLWFS,\Driver\WFPLWFS
0,0xac818de67900,0xf80735a40000,0x4e000,ahcache,ahcache,\Driver\ahcache
0,0xac818deacd50,0xf80c9da30000,0x2e000,cdrom,cdrom,\Driver\cdrom
0,0xac818df24e30,0xf80735f20000,0x51000,NetBT,NetBT,\Driver\NetBT
0,0xac818df25df0,0xf80735f80000,0x13000,afunix,afunix,\Driver\afunix
0,0xac818df26de0,0xf80735800000,0xa6000,AFD,AFD,\Driver\AFD
0,0xac818df2d7a0,0xf807358b0000,0x2b000,Psched,Psched,\Driver\Psched
0,0xac818df313f0,0xf807358e0000,0x14000,NetBIOS,NetBIOS,\FileSystem\NetBIOS
0,0xac818df33520,0xf80735900000,0x7a000,rdbss,rdbss,\FileSystem\rdbss
0,0xac818df33d40,0xf80735a20000,0x14000,bam,bam,\Driver\bam
0,0xac818df3cde0,0xf80735980000,0x12000,nsiproxy,nsiproxy,\Driver\nsiproxy
0,0xac818df3dde0,0xf807359a0000,0xd000,npsvctrig,npsvctrig,\Driver\npsvctrig
0,0xac818df44b70,0xf80735ab0000,0xd000,kdnic,kdnic,\Driver\kdnic
0,0xac818df46780,0xf80735ac0000,0x15000,umbus,umbus,\Driver\umbus
0,0xac818dfacab0,0xf80735fa0000,0x21000,i8042prt,i8042prt,\Driver\i8042prt
0,0xac818dfad060,0xf80735fd0000,0x13000,mouclass,mouclass,\Driver\mouclass
0,0xac818dfae9f0,0xf80735a00000,0x13000,kbdclass,kbdclass,\Driver\kbdclass
0,0xac818dfb0060,0xf80735ae0000,0xf000,fdc,fdc,\Driver\fdc
0,0xac818dfb0df0,0xf80c9daa0000,0x1c000,Serial,Serial,\Driver\Serial
0,0xac818dfb13d0,0xf80735ff0000,0xf000,Serenum,Serenum,\Driver\Serenum
0,0xac818dfb4a10,0xf80c9dac0000,0x49000,xenvif,xenvif,\Driver\xenvif
0,0xac818dfb5ad0,0xf80c9db10000,0x1a000,xeniface,xeniface,\Driver\xeniface
0,0xac818dfb78f0,0xf80c9db30000,0x3e000,intelppm,intelppm,\Driver\intelppm
0,0xac818dfc7d70,0xe94517c00000,0x0,\Driver\Win32k,Win32k,\Driver\Win32k
0,0xac818dfcac30,0xf80c9d8a0000,0xd000,NdisVirtualBus,NdisVirtualBus,\Driver\NdisVirtualBus
0,0xac818dfcd8f0,0xf80c9d340000,0xe000,rdpbus,rdpbus,\Driver\rdpbus
0,0xac818dfd9d10,0xf80c9d8b0000,0xc000,swenum,swenum,\Driver\swenum
0,0xac818dfe7870,0xf80c9d350000,0x11000,xennet,xennet,\Driver\xennet
0,0xac81900dae30,0xf80c9d390000,0x18000,monitor,monitor,\Driver\monitor
0,0xac8190144e30,0xf80732560000,0x10000,pmem,pmem,\Driver\pmem
0,0xac81901efbd0,0xf80736000000,0x1a000,mpsdrv,mpsdrv,\Driver\mpsdrv
0,0xac8190e1d970,0xf807367d0000,0x25000,bowser,bowser,\FileSystem\bowser
0,0xac819112ce30,0xf80736640000,0x2d000,wcifs,wcifs,\FileSystem\wcifs
0,0xac81911b8e30,0xf80736610000,0x29000,luafv,luafv,\FileSystem\luafv
0,0xac81911bce20,0xf80736670000,0xd000,RdpVideoMiniport,RdpVideoMiniport,\Driver\RdpVideoMiniport
0,0xac81911e3e30,0xf80736680000,0x77000,CldFlt,CldFlt,\FileSystem\CldFlt
0,0xac81911e5e30,0xf80736700000,0x1b000,storqosflt,storqosflt,\FileSystem\storqosflt
0,0xac8191229e30,0xf80736470000,0x14000,tcpipreg,tcpipreg,\Driver\tcpipreg
0,0xac819125de30,0xf80736720000,0x18000,lltdio,lltdio,\Driver\lltdio
0,0xac819125ee30,0xf80736740000,0x1a000,MsLldp,MsLldp,\Driver\MsLldp
0,0xac81912eae30,0xf80736780000,0x1d000,wanarp,wanarp,\Driver\wanarp
0,0xac81912ece30,0xf807367a0000,0x2f000,RDPDR,RDPDR,\Driver\RDPDR
0,0xac819131fe10,0xf80736760000,0x1b000,rspndr,rspndr,\Driver\rspndr
0,0xac8191391e00,0xf807360b0000,0x46000,mrxsmb20,mrxsmb20,\FileSystem\mrxsmb20
0,0xac8191392e00,0xf80736020000,0x89000,mrxsmb,mrxsmb,\FileSystem\mrxsmb
0,0xac8191487e30,0xf80736100000,0x2b000,WinQuic,WinQuic,\Driver\WinQuic
0,0xac819148de30,0xf80736130000,0x138000,HTTP,HTTP,\Driver\HTTP
0,0xac8191541e30,0xf807363a0000,0xc5000,srv2,srv2,\FileSystem\srv2
0,0xac8191545e30,0xf80736270000,0x4f000,srvnet,srvnet,\FileSystem\srvnet
0,0xac8191549e30,0xf807362c0000,0xd6000,PEAUTH,PEAUTH,\Driver\PEAUTH
0,0xac8191680e30,0xf80736490000,0x1c000,RasSstp,RasSstp,\Driver\RasSstp
0,0xac8191681e30,0xf807364b0000,0x18000,ndproxy,ndproxy,\Driver\ndproxy
0,0xac81916e1e30,0xf807324f0000,0x16000,WdNisDrv,WdNisDrv,\Driver\WdNisDrv
0,0xac8191706e10,0xf807364d0000,0x27000,RasAgileVpn,RasAgileVpn,\Driver\RasAgileVpn
0,0xac819170cdf0,0xf80736500000,0x21000,Rasl2tp,Rasl2tp,\Driver\Rasl2tp
0,0xac819171dd80,0xf80c9d3b0000,0x20000,PptpMiniport,PptpMiniport,\Driver\PptpMiniport
0,0xac81917ade30,0xf80c9d3e0000,0x1c000,RasPppoe,RasPppoe,\Driver\RasPppoe
0,0xac81917aee30,0xf80c9d200000,0x15000,RasGre,RasGre,\Driver\RasGre
0,0xac81917b0e30,0xf80c9d220000,0xf000,NdisTapi,NdisTapi,\Driver\NdisTapi
0,0xac81917b1e30,0xf80732490000,0x3b000,NdisWan,NdisWan,\Driver\NdisWan
0,0xac81918a2e30,0xf807324d0000,0x13000,condrv,condrv,\Driver\condrv
0,0xac81918b4e30,0xf80732510000,0xf000,terminpt,terminpt,\Driver\terminpt
0,0xac8192c89e30,0xf80732540000,0x14000,MMCSS,MMCSS,\Driver\MMCSS
0,0xac8192f0ae30,0xf80732520000,0x1c000,MpKsl82f3739c,MpKsl82f3739c,\Driver\MpKsl82f3739c
0,0xd40caaeb7f84,0x100000000,0x4d40001,N/A,N/A,N/A
0,0xd40cb32c2c5f,0x0,0xaf000000,N/A,N/A,N/A

